Key,Id,Chinese (Simplified)(zh-CN),English(en),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es)
"Red 1.1.1",96960955703296,"*叹气*<pause:1> 又一天，又一美元。","*sigh*<pause:1> Another day, another dollar.","*soupir*<pause:1> Un jour de plus, un dollar de plus.","*seufz*<pause:1> Ein neuer Tag, ein neuer Dollar.","*suspiro*<pause:1> Mais um dia, mais um dólar.","*вздох*<pause:1> Новый день - новая копейка.","*suspiro*<pause:1> Otro día, otro dólar."
"Red 1.2.1",102732733243392,"哎呀，这孩子看起来很坚强，他至少需要两个冰淇淋。","Damn,<pause:0.5> this kiddo seems tough,<pause:0.5> he needs at least two icecreams.","Mince alors,<pause:0.5> ce gamin a l'air costaud,<pause:0.5> il a besoin d'au moins deux glaces.","Verdammt, dieser Junge scheint zäh zu sein, er braucht mindestens zwei Eiscremes.","Caramba,<pause:0.5> esse garoto parece durão,<pause:0.5> ele precisa de pelo menos dois sorvetes.","Блин,<pause:0.5> этот мелкий выглядит крепким,<pause:0.5> ему понадобится хотя бы две мороженки.","Maldita sea,<pause:0.5> este niño parece duro,<pause:0.5> necesita al menos dos helados."
"Red 1.2.2",102851926974464,"大块头啊？<pause:0.75> 越大，摔得越惨。","Big boy, huh?<pause:0.75> The bigger they are, the harder they fall.","Un grand garçon, hein ?<pause:0.75> Plus ils sont grands, plus dure est la chute.","Ein großer Junge, was?<pause:0.75> Je größer sie sind, desto tiefer fallen sie.","Garotão, hein?<pause:0.75> Quanto maior a altura, maior a queda.","Большой мальчик, да?<pause:0.75> Чем больше шкаф, тем громче падает.","Muchacho grande, ¿eh?<pause:0.75> Cuanto más grandes son, más fuerte caen."
"Red 1.3.1",102931308371968,"破烂不堪的老古董。","Stupid old junk.","Vieille camelote stupide.","Blöder alter Schrott.","Lixo velho e estúpido.","Старая рухлядь.","Vieja basura estúpida."
"Red 1.3.2",103157167448064,"得收拾残局。","Have to clean up the mess.","Il faut nettoyer le désordre.","Ich muss den Dreck wegräumen.","Preciso limpar a bagunça.","Нужно вычистить беспорядок.","Tengo que limpiar el desastre."
"Red 1.3.3",103200687546368,"垃圾桶在哪里？","Where is the garbage can?","Où se trouve la poubelle ?","Wo ist der Mülleimer?","Onde está a lata de lixo?","Где же мусорка?","¿Dónde está el bote de basura?"
"Red 1.3.4",103255913947136,"哦，<pause:0.5>，你来了。","Oh,<pause:0.5> there you are.","Ah,<pause:0.5> te voilà.","Oh, <pause:0.5>, da bist du ja.","Ah, aí está você.","О,<pause:0.5> вот ты где.","Oh,<pause:0.5> ahí estás."
"Red 1.3.5",103266819137536,"嘘，<pause:0.5> 小臭虫。","Shoo,<pause:0.5> small stinkers.","Dégagez, petits sales types.","Verpisst euch, ihr kleinen Stinker!","Xô, pequenos fedorentos.","Кыш,<pause:0.5> вонючки.","¡Fuera, pequeños apestosos!"
"Red 1.4.1",103795813146624,"哦，哇。今天的第一个复杂订单。","Oh,<pause:0.5> wow.<pause:0.5> The first complex order for today.","Oh,<pause:0.5> wow.<pause:0.5> La première commande complexe du jour.","Oh, wow. Die erste komplexe Bestellung für heute.","Oh,<pause:0.5> uau.<pause:0.5> O primeiro pedido complexo de hoje.","Oго.<pause:0.5> Первое комплексное блюдо за сегодня.","Oh,<pause:0.5> vaya.<pause:0.5> El primer pedido complejo de hoy."
"Red 1.4.2",103882635239424,"不过还是太容易了。","Still too easy though.","C'est encore trop facile.","Trotzdem noch zu einfach.","Mesmo assim, continua muito fácil.","Но все равно это слишком просто.","Aunque todavía es demasiado fácil."
"Red 1.4.3",103985789952000,"需要将各种材料混合在一起。","Need to mix the ingredients.","Il faut mélanger les ingrédients.","Die Zutaten müssen vermischt werden.","É preciso misturar os ingredientes.","Нужно смешать ингредиенты.","Es necesario mezclar los ingredientes."
"Red 1.4.4",104019986112512,"*叹气*<pause:1> 我想知道烹饪真正的菜肴是什么感觉？","*sigh*<pause:1> I wonder what it's like to cook real dishes?","*soupir*<pause:1> Je me demande ce que ça fait de cuisiner de vrais plats ?","*seufz*<pause:1> Ich frage mich, wie es wohl ist, richtige Gerichte zu kochen?","*suspiro*<pause:1> Será que é mesmo cozinhar pratos de verdade?","*вздох*<pause:1> Интересно, каково это готовить настоящие блюда?","*suspiro*<pause:1> Me pregunto cómo será cocinar platos reales."
"Red 1.5.1",104142648532992,"哦，真正的游戏开始了。","Oh,<pause:0.5> the real game begins.","Oh,<pause:0.5> le vrai jeu commence.","Oh, jetzt beginnt das eigentliche Spiel.","Ah, <pause:0.5> o jogo de verdade começa.","О, <pause:0.5> настоящая игра начинается.","Oh,<pause:0.5> comienza el verdadero juego."
